date,meeting_id,title,start_time,end_time,meeting_type,organizer,is_required,is_after_hours
2026-06-19,m001,Team standup,09:00,09:30,Team sync,Aisha,true,false
2026-06-19,m002,Project Magic planning,09:30,10:30,Workshop,Alan,true,false
2026-06-19,m003,Customer follow-up,11:00,12:00,External,Mina,true,false
2026-06-19,m004,Design review,12:00,13:00,Review,Leo,true,false
2026-06-19,m005,Focus block,13:30,14:30,Focus,self,false,false
2026-06-19,m006,Intern hackathon check-in,15:00,16:00,Team sync,Alan,true,false
2026-06-19,m007,Late status update,18:15,18:45,Status,Aisha,false,true
2026-06-20,m101,Morning focus block,09:00,10:30,Focus,self,false,false
2026-06-20,m102,Prototype build sync,10:30,11:00,Team sync,Alan,true,false
2026-06-20,m103,Dashboard demo rehearsal,14:00,15:00,Workshop,Mina,true,false
